,name,company,year,price,kms_driven,fuel_type
329,Mahindra XUV500 W6,Mahindra,8,950000.0,91000,Diesel
330,Audi A6 2.0,Audi,11,2100000.0,69631,Diesel
331,Hyundai i20 Active,Hyundai,6,611000.0,32036,Petrol
332,Mercedes-Benz AMG GLA35,Mercedes-Benz,2,6450000.0,2000,Petrol
333,Hyundai Elite i20,Hyundai,6,600000.0,22621,Petrol
334,Honda City VX,Honda,9,625000.0,45000,Petrol
335,Hyundai Verna Fluidic,Hyundai,5,1126000.0,33423,Petrol
336,Hyundai i10 1.1L,Hyundai,9,350000.0,31500,Petrol
337,Hyundai Creta SX,Hyundai,7,925000.0,51000,Petrol
338,Renault Duster 85,Renault,6,978999.9999999999,39030,Diesel
339,Mercedes-Benz C-Class C,Mercedes-Benz,6,3056000.0,27236,Petrol
340,Maruti Suzuki Celerio,Maruti,9,357000.0,24063,Petrol
341,Volkswagen Polo Highline1.2L,Volkswagen,9,521000.0,59819,Petrol
342,Renault Kwid 1.0,Renault,5,438999.99999999994,8297,Petrol
343,Maruti Suzuki Dzire,Maruti,7,735000.0,32740,Petrol
344,BMW 5 Series,BMW,4,4599000.0,34500,Diesel
345,Kia Sonet GTX,Kia,4,1419000.0,25007,Diesel
346,Maruti Suzuki Ignis,Maruti,5,488999.99999999994,38944,Petrol
347,Volkswagen Vento Trendline,Volkswagen,14,350000.0,101740,Petrol
348,Maruti Suzuki Celerio,Maruti,5,599000.0,9130,Petrol
349,Honda Jazz V,Honda,7,675000.0,48650,Petrol
350,Hyundai Creta 1.6,Hyundai,8,1028999.9999999999,40314,Petrol
351,Volvo XC90 D5,Volvo,9,2287000.0,30800,Diesel
352,Maruti Suzuki Alto,Maruti,5,345000.0,33000,ecofriendly_fuel
353,Hyundai Elite i20,Hyundai,5,790000.0,54000,Petrol
354,Honda City V,Honda,6,844999.9999999999,22500,Petrol
355,Toyota Glanza G,Toyota,4,849000.0,29866,Petrol
356,Ford Aspire Titanium,Ford,7,535000.0,65000,Petrol
357,Ford EcoSport Titanium,Ford,10,475000.0,78822,Petrol
358,Volkswagen Taigun GT,Volkswagen,3,1648999.9999999998,9792,Petrol
359,Hyundai Grand i10,Hyundai,8,569000.0,64774,Petrol
360,Toyota Fortuner 2.8,Toyota,6,3375000.0,31283,Diesel
361,Skoda Rapid Ambition,Skoda,4,1082000.0,10713,Petrol
362,Maruti Suzuki Baleno,Maruti,3,699000.0,13127,Petrol
363,Maruti Suzuki Wagon,Maruti,8,425000.0,50000,Petrol
364,Maruti Suzuki Alto,Maruti,6,325000.0,35340,Petrol
365,Honda Jazz V,Honda,7,651000.0,27654,Petrol
366,Hyundai Santro Sportz,Hyundai,6,523000.00000000006,40067,ecofriendly_fuel
367,Maruti Suzuki Baleno,Maruti,6,548000.0,50899,Petrol
368,Hyundai Grand i10,Hyundai,7,459999.99999999994,52000,Petrol
369,Honda City S,Honda,7,695000.0,51292,Petrol
370,Hyundai Elite i20,Hyundai,7,519000.00000000006,19905,Petrol
371,Tata Nano Twist,Tata,9,110000.00000000001,18000,Petrol
372,Maruti Suzuki Ertiga,Maruti,3,1140000.0,28715,ecofriendly_fuel
373,Maruti Suzuki Ertiga,Maruti,9,721000.0,69161,ecofriendly_fuel
374,Maruti Suzuki S-Cross,Maruti,7,886999.9999999999,54571,Diesel
